INSTRUMENTID,TRADINGSEGMENT,REFSETTLEMENTPRICE,TIME1,:B1,TIME,TRADINGDAY,PRODUCTID,UPDOWN,trade_date
HC2601,D,3213,2025101615:00:00,,9:00-15:00,,hc_f,-8.99999,20251016
SS2512,D,12515,2025101610:15:00,,9:00-10:15,,ss_f,-34.99999,20251016
SS2512,D,12550,2025101615:00:00,,9:00-15:00,,ss_f,-9.99999,20251016
SC2512,D,445.6,2025101610:15:00,,9:00-10:15,,sc_f,0.40001,20251016
SC2512,D,445.8,2025101615:00:00,,9:00-15:00,,sc_f,1.10001,20251016
LU2601,D,3157,2025101610:15:00,,9:00-10:15,,lu_f,-7.99999,20251016
LU2601,D,3156,2025101615:00:00,,9:00-15:00,,lu_f,-2.99999,20251016
FU2601,D,2688,2025101610:15:00,,9:00-10:15,,fu_f,14.00001,20251016
FU2601,D,2689,2025101615:00:00,,9:00-15:00,,fu_f,16.00001,20251016
BU2601,D,3153,2025101610:15:00,,9:00-10:15,,bu_f,-0.99999,20251016
BU2601,D,3160,2025101615:00:00,,9:00-15:00,,bu_f,11.00001,20251016
BR2512,D,10940,2025101610:15:00,,9:00-10:15,,br_f,195.00001,20251016
BR2512,D,10985,2025101615:00:00,,9:00-15:00,,br_f,225.00001,20251016
RU2601,D,14850,2025101610:15:00,,9:00-10:15,,ru_f,-14.99999,20251016
RU2601,D,14875,2025101615:00:00,,9:00-15:00,,ru_f,25.00001,20251016
NR2512,D,12255,2025101610:15:00,,9:00-10:15,,nr_f,165.00001,20251016
NR2512,D,12285,2025101615:00:00,,9:00-15:00,,nr_f,170.00001,20251016
SP2601,D,5164,2025101610:15:00,,9:00-10:15,,sp_f,-17.99999,20251016
SP2601,D,5150,2025101615:00:00,,9:00-15:00,,sp_f,-23.99999,20251016
OP2601,D,4214,2025101610:15:00,,9:00-10:15,,op_f,-1.99999,20251016
OP2601,D,4212,2025101615:00:00,,9:00-15:00,,op_f,-1.99999,20251016
EC2512,D,1662.9,2025101610:15:00,,9:00-10:15,,ec_f,-39.69999,20251016
EC2512,D,1662.9,2025101615:00:00,,9:00-15:00,,ec_f,-50.59999,20251016
CU2512,D,84840,2025101710:15:00,,9:00-10:15,,cu_f,-229.99999,20251017
CU2512,D,84640,2025101715:00:00,,9:00-15:00,,cu_f,-339.99999,20251017
BC2511,D,75320,2025101710:15:00,,9:00-10:15,,bc_f,-159.99999,20251017
BC2511,D,75160,2025101715:00:00,,9:00-15:00,,bc_f,-259.99999,20251017
AL2512,D,21005,2025101710:15:00,,9:00-10:15,,al_f,75.00001,20251017
AL2512,D,20965,2025101715:00:00,,9:00-15:00,,al_f,10.00001,20251017
ZN2512,D,21945,2025101710:15:00,,9:00-10:15,,zn_f,-34.99999,20251017
ZN2512,D,21895,2025101715:00:00,,9:00-15:00,,zn_f,-64.99999,20251017
PB2511,D,17035,2025101710:15:00,,9:00-10:15,,pb_f,-74.99999,20251017
PB2511,D,17045,2025101715:00:00,,9:00-15:00,,pb_f,-69.99999,20251017
NI2512,D,121540,2025101710:15:00,,9:00-10:15,,ni_f,520.00001,20251017
